complex_id,density
1.0,479.5833333333333
2.0,145.12018140589566
3.0,454.80498866213145
4.0,342.10430839002254
5.0,288.595238095238
6.0,120.20634920634922
8.0,137.3095238095238
9.0,237.04093567251465
10.0,91.53650793650796
13.0,176.8924162257495
14.0,152.75283446712018
16.0,124.4828042328042
17.0,103.12380952380953
20.0,65.62433862433863
22.0,50.84415584415584
26.0,192.7572362278244
28.0,242.17724867724866
30.0,186.36904761904762
31.0,246.9391534391534
32.0,713.0740740740741
33.0,611.6825396825396
34.0,503.66269841269843
35.0,859.5725806451613
36.0,258.4087301587302
37.0,279.0515873015873
38.0,347.5167548500883
39.0,181.3439153439153
41.0,356.86507936507934
42.0,321.3234126984127
43.0,773.8624338624338
44.0,451.1224489795919
45.0,388.6455026455026
46.0,528.026455026455
47.0,652.7809523809527
48.0,59.21164021164021
49.0,119.33211233211233
50.0,134.2984126984127
51.0,353.48313492063494
52.0,265.1243386243385
53.0,117.46031746031747
54.0,459.0493827160495
55.0,295.68367346938766
56.0,183.31972789115648
57.0,91.45436507936508
58.0,383.3071428571428
59.0,300.87528344671205
60.0,217.91156462585033
61.0,552.0793650793651
62.0,280.095238095238
64.0,277.9047619047619
65.0,249.91428571428574
66.0,431.13227513227525
67.0,377.7460317460318
68.0,381.70521541950103
69.0,279.74074074074076
70.0,178.0476190476191
71.0,204.14462081128747
72.0,145.76984126984127
74.0,152.82142857142858
75.0,238.62301587301587
76.0,175.29805996472672
77.0,286.14285714285717
78.0,133.51388888888889
79.0,272.8809523809524
80.0,124.16137566137571
81.0,160.6468253968254
82.0,198.9404761904762
83.0,183.54960317460316
84.0,293.8253968253968
85.0,256.7777777777778
86.0,197.29100529100532
87.0,812.6666666666663
88.0,575.8941798941798
89.0,817.1666666666666
90.0,502.8835978835979
91.0,451.0952380952382
93.0,341.1904761904762
94.0,563.9894179894181
95.0,601.84126984127
96.0,484.97354497354513
97.0,896.7738095238095
98.0,370.78483245149914
99.0,242.32199546485256
100.0,150.80272108843542
101.0,252.26797385620907
103.0,292.5026455026455
107.0,77.18253968253968
108.0,170.11564625850338
109.0,268.99801587301585
110.0,445.2539682539683
111.0,274.95238095238096
113.0,409.8968253968254
114.0,269.62698412698415
118.0,248.5
119.0,168.7095238095238
120.0,356.90476190476204
122.0,315.21957671957665
123.0,352.3915343915344
124.0,576.0634920634919
125.0,268.957671957672
126.0,239.33333333333331
127.0,369.60846560846556
129.0,265.67063492063494
130.0,287.3619047619048
131.0,243.48677248677254
133.0,223.2275132275133
134.0,1066.8809523809523
135.0,324.38730158730164
136.0,834.3068783068783
137.0,491.00396825396825
138.0,197.03785103785103
141.0,117.18412698412702
143.0,200.88744588744586
144.0,278.87301587301596
145.0,84.94708994708994
146.0,348.9973544973546
147.0,145.72123015873015
149.0,190.77579365079364
150.0,164.0285714285714
151.0,898.4215167548501
152.0,111.0966810966811
153.0,625.2361111111111
154.0,321.93386243386254
155.0,212.39002267573684
156.0,366.19576719576736
157.0,260.2837301587302
158.0,133.93915343915347
159.0,139.88571428571427
160.0,163.11791383219955
162.0,159.36961451247163
164.0,227.25510204081635
165.0,211.6179894179894
167.0,339.66917293233075
168.0,108.84722222222223
169.0,120.7435254803676
173.0,222.91798941798942
175.0,592.7873015873016
176.0,84.66666666666664
177.0,110.6666666666667
179.0,879.7845804988664
180.0,331.96031746031747
181.0,423.4835164835164
182.0,472.56349206349205
183.0,275.68027210884344
185.0,327.82010582010577
186.0,504.1798941798943
187.0,429.25925925925924
188.0,467.3095238095238
189.0,656.452380952381
190.0,150.82766439909298
191.0,236.42328042328043
192.0,209.72134038800698
193.0,79.4
194.0,97.06349206349208
195.0,321.5301587301587
196.0,6.0925925925925934
197.0,60.53968253968255
198.0,48.19727891156464
199.0,31.761904761904766
200.0,88.35873015873015
201.0,51.47619047619047
202.0,34.63174603174603
203.0,108.91428571428568
204.0,244.21269841269847
205.0,206.60952380952384
206.0,100.06031746031742
207.0,119.56190476190474
208.0,206.94920634920635
209.0,407.49886621315176
210.0,490.2718253968254
211.0,289.9781746031746
212.0,299.3584656084656
213.0,433.2349206349205
214.0,368.994708994709
215.0,423.4179894179895
216.0,228.8959435626102
217.0,252.6047619047619
218.0,336.9727891156463
220.0,545.4391534391535
221.0,611.9867724867727
222.0,291.1984126984127
223.0,249.18055555555554
224.0,117.35515873015873
225.0,192.58024691358025
228.0,328.02380952380946
231.0,534.1269841269841
232.0,336.08253968253956
234.0,279.36940836940846
235.0,618.2592592592592
236.0,138.32356532356528
237.0,133.8152958152958
238.0,356.05820105820106
241.0,75.4814814814815
242.0,82.01785714285714
243.0,242.36167800453515
244.0,140.734126984127
245.0,184.84807256235828
246.0,67.91746031746031
247.0,101.97354497354496
248.0,93.14965986394556
249.0,227.29629629629636
250.0,155.11507936507937
251.0,93.26984126984127
252.0,250.92592592592592
253.0,127.17989417989413
254.0,200.0184126984127
255.0,174.3375661375661
256.0,250.2481962481963
257.0,141.31904761904767
258.0,129.20634920634922
259.0,330.82539682539675
260.0,38.61269841269843
261.0,226.6223544973545
262.0,145.90952380952376
263.0,97.4285714285714
264.0,465.4507936507936
265.0,304.6851851851852
266.0,158.91005291005288
268.0,327.8201058201058
269.0,220.58024691358023
270.0,140.6825396825397
271.0,392.12345679012344
272.0,86.67301587301586
273.0,119.91997354497359
276.0,94.98639455782312
277.0,225.45079365079366
278.0,611.641723356009
279.0,652.970695970696
280.0,264.4467120181406
282.0,202.09523809523816
283.0,226.6681096681096
284.0,152.82426303854882
286.0,591.4338624338625
287.0,178.09920634920636
288.0,217.60317460317466
289.0,269.19047619047626
290.0,447.2645502645501
291.0,89.7202380952381
292.0,205.34013605442172
293.0,499.69444444444446
294.0,135.8968253968254
295.0,181.84444444444443
296.0,245.18730158730156
297.0,115.07142857142857
298.0,410.80423280423275
299.0,473.2777777777777
300.0,166.8293650793651
301.0,1206.3079365079366
303.0,437.4761904761905
304.0,494.2630385487529
305.0,391.1555555555555
306.0,487.6571428571429
307.0,216.72222222222226
308.0,359.5328798185941
309.0,396.1349206349207
310.0,444.29931972789126
311.0,271.7675736961452
312.0,216.56790123456798
313.0,347.5844155844155
314.0,101.28847481021396
316.0,140.9770723104057
318.0,279.08369408369407
319.0,162.25974025974028
320.0,354.42403628117916
321.0,89.70238095238095
323.0,224.49999999999994
324.0,92.34821428571429
325.0,112.3148148148148
326.0,52.90873015873016
327.0,149.18154761904762
328.0,16.246376811594207
329.0,72.36155202821868
333.0,103.24025974025973
334.0,186.96825396825398
336.0,143.51587301587307
337.0,333.9873015873016
339.0,86.02777777777777
340.0,246.45634920634922
341.0,87.92063492063491
343.0,472.2222222222223
344.0,488.58730158730157
345.0,640.9373897707231
346.0,598.4973544973545
347.0,578.1904761904761
348.0,489.15079365079373
349.0,372.2579365079365
350.0,427.73809523809524
351.0,410.81349206349205
352.0,571.7539682539684
353.0,356.09523809523813
354.0,532.3756613756615
355.0,376.0
356.0,255.1851851851851
357.0,258.42063492063494
358.0,307.5379188712521
359.0,293.00158730158734
360.0,286.8818342151675
361.0,230.3650793650794
362.0,120.79629629629632
363.0,804.3862433862436
364.0,156.22751322751327
365.0,398.02494331065776
366.0,531.0833333333334
367.0,340.28835978835974
368.0,547.9047619047622
369.0,592.867724867725
370.0,187.06878306878312
371.0,436.50000000000006
372.0,253.8121693121693
373.0,422.35449735449725
374.0,106.39682539682538
375.0,280.31746031746025
376.0,484.8548752834468
377.0,671.547619047619
378.0,420.25079365079375
379.0,310.899470899471
380.0,527.9047619047619
381.0,856.1523809523807
382.0,515.021164021164
383.0,661.7222222222222
384.0,835.8571428571429
385.0,679.1706349206349
386.0,660.3373015873016
387.0,1012.0952380952381
388.0,1226.968253968254
391.0,328.21693121693113
392.0,866.2868480725622
393.0,677.6626984126984
