Complex ID,GTFS Longitude,GTFS Latitude
196,-73.83591899999999,40.672096999999994
197,-73.834058,40.668234000000005
198,-73.830301,40.660476
199,-73.815925,40.608382
200,-73.813641,40.588034
201,-73.82055799999999,40.585307
202,-73.827559,40.583209000000004
203,-73.835592,40.580903
204,-73.796924,40.590927
205,-73.788522,40.592374
206,-73.776013,40.592943
207,-73.768175,40.595397999999996
208,-73.761353,40.600066
209,-73.75540500000001,40.603995
210,-73.878855,40.874811
211,-73.88713800000001,40.873244
212,-73.893509,40.866978
213,-73.897749,40.861296
214,-73.900741,40.856093
215,-73.905227,40.85041
216,-73.910136,40.8459
217,-73.9134,40.839306
218,-73.91844,40.833771
604,-73.925651,40.827905
220,-73.938209,40.830135
221,-73.942836,40.754203000000004
222,-73.95326,40.759145000000004
223,-73.966113,40.764629
224,-73.97745,40.763971999999995
225,-73.981329,40.758663
609,-73.984569,40.754222
607,-73.98782299999999,40.749719
228,-73.99282099999999,40.742878000000005
601,-73.996209,40.738228
619,-73.996204,40.725297
231,-73.993753,40.718267
232,-73.989938,40.723402
625,-73.988114,40.718610999999996
234,-73.990173,40.713715
235,-73.986751,40.701397
236,-73.99086199999999,40.686145
237,-73.995048,40.680303
238,-73.995959,40.67358
608,-73.989779,40.670272
240,-73.980305,40.666271
241,-73.979493,40.660365000000006
242,-73.975776,40.650782
243,-73.979678,40.644040999999994
244,-73.978172,40.636119
245,-73.97697099999999,40.629754999999996
246,-73.976127,40.625322
247,-73.975264,40.620769
248,-73.974197,40.615140000000004
249,-73.973022,40.608944
250,-73.97236099999999,40.603217
251,-73.973357,40.596063
252,-73.97425,40.589620000000004
253,-73.974574,40.581011
254,-73.783817,40.712646
255,-73.793604,40.71047
256,-73.803326,40.707564
257,-73.81070799999999,40.705459999999995
258,-73.820574,40.709179
259,-73.831008,40.714441
260,-73.837324,40.718331
261,-73.844521,40.721691
262,-73.852719,40.726523
263,-73.861604,40.729846
264,-73.869229,40.733106
265,-73.877223,40.737015
266,-73.882017,40.742453999999995
616,-73.891338,40.746644
268,-73.898453,40.749669
269,-73.906006,40.752885
270,-73.913333,40.756312
271,-73.92074000000001,40.756879
272,-73.928781,40.752039
273,-73.93724300000001,40.748973
606,-73.946,40.747846
612,-73.96905500000001,40.757552000000004
276,-73.975224,40.760166999999996
277,-73.981637,40.762862
278,-73.801109,40.702147
279,-73.807969,40.700486
280,-73.816859,40.702566
606,-73.943832,40.746553999999996
282,-73.949724,40.744065
283,-73.954449,40.731352
284,-73.951277,40.724635
629,-73.951418,40.712792
286,-73.95030799999999,40.706092
287,-73.950234,40.700377
288,-73.949046,40.694568
289,-73.95352199999999,40.689627
290,-73.96007,40.688873
291,-73.96683900000001,40.688089
292,-73.975375,40.687119
293,-73.898583,40.889247999999995
294,-73.90087,40.884667
295,-73.904834,40.878856
296,-73.90983100000001,40.874561
297,-73.915279,40.869444
298,-73.91882199999999,40.864621
299,-73.925536,40.860531
300,-73.929412,40.855225
301,-73.933596,40.849505
605,-73.94013299999999,40.840556
303,-73.94489,40.834041
304,-73.95036,40.826551
305,-73.953676,40.822008000000004
306,-73.958372,40.815581
307,-73.96410999999999,40.807722
308,-73.966847,40.803967
309,-73.968379,40.799446
310,-73.972323,40.793919
311,-73.976218,40.788644
312,-73.979917,40.783934
313,-73.98196999999999,40.778453000000006
314,-73.982209,40.77344
614,-73.98192900000001,40.768246999999995
316,-73.98384899999999,40.761728000000005
611,-73.987495,40.75529
318,-73.991057,40.750372999999996
319,-73.993365,40.747215000000004
320,-73.995657,40.744081
321,-73.99787099999999,40.741040000000005
601,-74.000201,40.737826
323,-74.00290600000001,40.733422
324,-74.005367,40.728251
325,-74.006277,40.722854
326,-74.006886,40.719318
327,-74.009266,40.715478000000004
328,-74.012188,40.711835
